rank,name,value,brand,prices,lastValue,month,
24,皇冠陆放,11742,一汽丰田,27.58 - 35.28,9869,6
25,零跑C11,11430,零跑汽车,17.98 - 23.98,9193,6
26,几何A,10030,几何汽车,12.68 - 20.78,9205,6
27,蔚来ES6,9936,蔚来,36.80 - 55.40,8036,6
28,ID.4 X,9715,上汽大众,18.93 - 28.63,6772,6
29,帝豪L 雷神Hi·P,9621,吉利汽车,12.98 - 16.88,0,6
30,ZEEKR 001,9324,极氪,29.90 - 38.60,8632,6
31,小鹏P5,9206,小鹏汽车,17.79 - 24.99,9284,6
32,几何E,9204,几何汽车,8.68 - 13.18,0,6
33,长安Lumin,9119,长安汽车,4.89 - 6.39,0,6
34,哪吒U,9080,合众汽车,12.38 - 18.58,7135,6
35,启辰D60EV,9029,东风启辰,12.98 - 17.88,6936,6
36,花仙子,8564,江汽集团,6.69 - 9.09,9623,6
37,大众ID.3,8250,上汽大众,14.99 - 18.53,4946,6
38,AION V,8030,广汽埃安,18.76 - 26.98,4857,6
39,名爵HS新能源,7871,上汽名爵,18.98 - 21.98,6600,6
40,骏行,7625,国金汽车,15.98 - 15.98,0,6
41,秦新能源,7264,比亚迪,12.99 - 20.99,6053,6
42,蔚来ET7,6822,蔚来,44.80 - 52.60,6056,6
43,威马E.5,6148,威马汽车,16.01 - 19.01,5051,6
44,ID.6 CROZZ,5822,一汽-大众,23.98 - 33.69,4520,6
45,元pro,5480,比亚迪,9.28 - 11.28,4860,6
46,宝马iX3,5403,华晨宝马,39.99 - 43.99,4474,6
47,凌宝BOX,5040,吉麦新能源,4.18 - 6.88,5755,6
48,飞凡MARVEL R,4940,上汽集团,21.98 - 25.98,0,6
49,宝骏KiWi EV,4870,上汽通用五菱,7.78 - 11.38,5561,6
50,荣威Ei5,4824,上汽集团,13.98 - 15.38,6571,6
1,宏光MINIEV,105724,上汽通用五菱,3.28 - 9.99,102854,7
2,宋PLUS新能源,81197,比亚迪,15.28 - 21.68,70774,7
3,Model Y,77914,特斯拉中国,31.69 - 41.79,68302,7
4,秦PLUS,65782,比亚迪,11.18 - 17.58,53473,7
5,汉,51852,比亚迪,21.48 - 32.98,51288,7
6,海豚,44474,比亚迪,10.28 - 13.08,31381,7
7,元PLUS,37725,比亚迪,13.78 - 16.58,36423,7
8,Model 3,27268,特斯拉中国,26.67 - 33.99,38821,7
9,AION Y,23542,广汽埃安,13.76 - 20.26,24331,7
10,问界M5,22968,金康赛力斯,25.98 - 33.18,13149,7
11,唐新能源,22603,比亚迪,20.58 - 33.98,19922,7
12,小蚂蚁,21526,奇瑞新能源,7.39 - 9.40,21181,7
13,哪吒V,19203,合众汽车,7.99 - 12.38,18114,7
14,长安Lumin,18195,长安汽车,4.89 - 6.39,9119,7
15,QQ冰淇淋,18007,奇瑞新能源,3.99 - 5.75,19054,7
16,驱逐舰05,16273,比亚迪,11.98 - 15.58,15012,7
17,欧拉好猫,15418,长城新能源,12.99 - 17.10,15588,7
18,理想ONE,14993,理想,33.80 - 33.80,23446,7
19,东风风神E70,14966,东风乘用车,14.28 - 15.38,15749,7
20,ID.4 CROZZ,14448,一汽-大众,18.73 - 28.73,12410,7
21,东风EV新能源EX1,14154,东风汽车,5.57 - 6.27,16854,7
22,赛那SIENNA,12962,广汽丰田,30.98 - 40.58,13339,7
23,零跑C11,12859,零跑汽车,17.98 - 23.98,11430,7
24,ZEEKR 001,12188,极氪,29.90 - 38.60,9324,7
25,小鹏P7,12142,小鹏汽车,23.99 - 28.59,14442,7
26,帝豪L 雷神Hi·P,11886,吉利汽车,12.98 - 16.88,9621,7
